DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1915-0011-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,Guangzhou,,,No,No,No,,3000.0,Km2,,,,1915,,,1915,,,,,3000000.0,,3000000.0,,,,,,,3.314205861,,2003/7/1,2023/9/25
1917-0013-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,Tianjin,,,No,No,No,,,Km2,,,,1917,,,1917,,,,,635000.0,,635000.0,,,,,,,4.200181685,,2003/7/1,2023/9/25
1933-0013-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,"Henan, Hebei, Shandong, Jiangsy",,,No,No,No,,,Km2,,,,1933,,,1933,,,18000.0,,,3600000.0,3600000.0,,,,,,,4.232995604,,2003/7/1,2023/9/25
1935-0019-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,,,,No,No,No,,150000.0,Km2,,,Changiyang river,1935,,,1935,,,142000.0,,10030000.0,,10030000.0,,,,,,,4.49550696,,2007/8/12,2023/9/25
1950-0007-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Anhwei province,,,No,No,No,,,Km2,,,,1950,8.0,14.0,1950,8.0,14.0,500.0,,10000000.0,,10000000.0,,,,,,,7.908154579,,2003/7/1,2023/9/25
1975-0154-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Henan province,Typhoon,Broken Dam/Burst bank,No,No,No,,,Km2,,,,1975,4.0,,1975,4.0,,20000.0,,11000000.0,,11000000.0,,,,,,,17.66208582,,2005/4/27,2023/9/25
1980-0056-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Sichuan province,,,No,No,No,,,Km2,,,,1980,7.0,,1980,7.0,,38.0,100.0,40000.0,,40100.0,,,,,,,27.0455806,,2003/7/1,2023/9/25
1980-0331-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Sichuan, Anhui, Hubei",,,No,No,No,,,Km2,,,,1980,6.0,,1980,6.0,,6200.0,27000.0,40000.0,,67000.0,,,,,160000.0,591594.0,27.0455806,,2003/7/1,2023/9/25
1981-0066-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,"Sichuan, Central and South China",,,Yes,No,No,,,Km2,,,,1981,7.0,14.0,1981,7.0,14.0,1311.0,28140.0,1500000.0,,1528140.0,,,,,1100000.0,3686245.0,29.84066199,,2003/7/1,2023/9/25
1981-0071-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Shaanxi province,Heavy rain,,No,No,No,,,Km2,,,,1981,8.0,,1981,8.0,,764.0,5000.0,1200000.0,200000.0,1405000.0,,,,,1200000.0,4021359.0,29.84066199,,2008/4/3,2023/9/25
