DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1911-0002-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1911,,,1911,,,100000,,,,,,,,,,,3.058105048,,2003/7/1,2023/9/25
1915-0011-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,Guangzhou,,,No,No,No,,3000,Km2,,,,1915,,,1915,,,,,3000000,,3000000,,,,,,,3.314205861,,2003/7/1,2023/9/25
1917-0013-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,Tianjin,,,No,No,No,,,Km2,,,,1917,,,1917,,,,,635000,,635000,,,,,,,4.200181685,,2003/7/1,2023/9/25
1931-0007-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,,,Famine,No,No,No,,,Km2,,,,1931,7,,1931,8,,3700000,,,,,,,,,1400000,28068961,4.987715751,,2008/12/10,2023/9/25
1933-0013-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,"Henan, Hebei, Shandong, Jiangsy",,,No,No,No,,,Km2,,,,1933,,,1933,,,18000,,,3600000,3600000,,,,,,,4.232995604,,2003/7/1,2023/9/25
1935-0019-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,,,,No,No,No,,150000,Km2,,,Changiyang river,1935,,,1935,,,142000,,10030000,,10030000,,,,,,,4.49550696,,2007/8/12,2023/9/25
1939-0006-CHN,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,CHN,China,Eastern Asia,Asia,Honan province,,,No,No,No,,,Km2,,,,1939,7,,1939,7,,500000,,,,,,,,,,,4.561134799,,2003/7/1,2023/9/25
1948-0020-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1948,5,,1948,5,,330,,,,,,,,,,,7.875340659,,2003/7/1,2023/9/25
1949-0025-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1949,7,,1949,7,,57000,,,,,,,,,,,7.809712821,,2003/7/1,2023/9/25
1950-0007-CHN,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CHN,China,Eastern Asia,Asia,Anhwei province,,,No,No,No,,,Km2,,,,1950,8,14,1950,8,14,500,,10000000,,10000000,,,,,,,7.908154579,,2003/7/1,2023/9/25
